  19   4   0   0   0   0   0   0   0   0   0   0   1   2   0   0   0   0   0   0   0   0
  29 141   0   0   7   1   0   0   0   0   0   0   9  11   2   0   1   1   5   4   0   0
  10  75  20   0  11   3   2   1   0   3   0   0  12  14   3   0   0   0   7   2   0   0
   6  58   0  12  12   1   1   0   0   1   0   0  17  21   3   1   0   1   2   5   0   1
   2  16   0   0 249   3   1   0   0   1   0   0   8   1   0   1   0   0   0   1   0   0
   0  17   0   0  20  53   2   6   2  12   0   0  15   3   0   0   0   1   0   1   1   0
   0  11   0   0  10   2   7   0   0   1   0   0  14   3   1   0   0   2   0   0   0   0
   0   3   0   0   2   2   2  28   6   4   0   0   9   5   0   0   0   1   3   1   3   1
   1   0   0   0   1   3   2  17  24   4   0   0   7  11   2   0   0   3   0   2   5   1
   0   1   0   0   1   9   0   8   1  13   0   0   6   8   0   0   0   2   0   2   0   0
   0  14   0   0   1   2   0   0   1   2   5   0  18  20   4   0   1   1   3   8   0   0
   1   8   0   0   0   2   0   1   6   2   0   3  17  16   5   0   0   2   0   5   0   0
   1  24   0   0  12   7   2   3   1   0   0   0  66  19   2   0   0   1   5   2   1   3
   1  24   0   0   0   0   3   1   1   4   0   0  20  38  12   0   0   2   6  11   1   0
   0   4   0   0   0   1   0   3   6   2   0   0   5  30  57   0   0   2   4  29  13   7
   0   0   0   0  16   0   0   0   0   0   0   0   1   0   0   3   0   0   0   0   1   0
   1   0   0   0   1   0   0   0   0   0   0   0   0   0   0   1   6   2   0   0   0   0
   1   0   0   0   1   0   0   0   0   0   0   0   1   5   0   0   0   7   0   0   3   0
   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   9   1   0   0
   3   1   0   0   0   0   0   0   0   1   0   0   3   5   6   0   0   0   1 169   1   1
   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   0   2  77   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   4  30
